,ko,ec
426,ko:K00492,ec:1.14.13.212
427,ko:K00494,ec:1.14.14.3
428,ko:K00495,ec:1.14.14.44
429,ko:K00496,ec:1.14.15.3
430,ko:K00497,ec:1.14.15.4
431,ko:K00498,ec:1.14.15.6
432,ko:K00499,ec:1.14.15.7
433,ko:K00500,ec:1.14.16.1
434,ko:K00501,ec:1.14.16.2
435,ko:K00502,ec:1.14.16.4
436,ko:K00503,ec:1.14.17.1
437,ko:K00504,ec:1.14.17.3
438,ko:K00505,ec:1.14.18.1
439,ko:K00507,ec:1.14.19.1
440,ko:K00508,ec:1.14.19.3
441,ko:K00509,ec:1.14.99.1
442,ko:K00510,ec:1.14.14.18
443,ko:K00511,ec:1.14.14.17
444,ko:K00512,ec:1.14.14.19
445,ko:K00512,ec:1.14.14.32
446,ko:K00513,ec:1.14.14.16
447,ko:K00514,ec:1.3.5.6
448,ko:K00515,ec:1.13.11.63
449,ko:K00516,ec:1.14.99.55
450,ko:K00518,ec:1.15.1.1
451,ko:K00520,ec:1.16.1.1
452,ko:K00521,ec:1.16.1.7
453,ko:K00522,ec:1.16.3.2
454,ko:K00523,ec:1.17.1.1
455,ko:K00524,ec:1.17.4.2
456,ko:K00525,ec:1.17.4.1
457,ko:K00526,ec:1.17.4.1
458,ko:K00527,ec:1.17.4.2
459,ko:K00528,ec:1.18.1.2
460,ko:K00528,ec:1.19.1.1
461,ko:K00529,ec:1.18.1.3
462,ko:K00530,ec:1.18.1.4
463,ko:K00531,ec:1.18.6.1
464,ko:K00532,ec:1.12.7.2
465,ko:K00533,ec:1.12.7.2
466,ko:K00534,ec:1.12.7.2
467,ko:K00537,ec:1.20.4.1
468,ko:K00541,ec:2.1.1.1
469,ko:K00542,ec:2.1.1.2
470,ko:K00543,ec:2.1.1.4
471,ko:K00544,ec:2.1.1.5
472,ko:K00545,ec:2.1.1.6
473,ko:K00546,ec:2.1.1.8
474,ko:K00547,ec:2.1.1.10
475,ko:K00548,ec:2.1.1.13
476,ko:K00549,ec:2.1.1.14
477,ko:K00550,ec:2.1.1.71
478,ko:K00551,ec:2.1.1.17
479,ko:K00551,ec:2.1.1.71
480,ko:K00552,ec:2.1.1.20
481,ko:K00553,ec:2.1.1.28
482,ko:K00554,ec:2.1.1.228
