,label
3300014935_8,Anaerobe
3300029496_26,Anaerobe
3300011917_3,Facultative
3300029331_25,Anaerobe
3300025924_14,Aerobe
3300001096_15,Anaerobe
3300025216_3,Aerobe
3300014040_8,Anaerobe
3300008275_8,Anaerobe
3300007746_2,Aerobe
3300027751_20,Aerobe
3300029855_16,Anaerobe
3300005647_9,Aerobe
3300025471_37,Anaerobe
3300025686_56,Anaerobe
3300014794_6,Anaerobe
3300013125_67,Anaerobe
3300025105_50,Anaerobe
3300021254_83,Anaerobe
3300029788_31,Anaerobe
3300025564_5,Aerobe
3300027844_56,Aerobe
3300027863_320,Anaerobe
3300029540_25,Anaerobe
3300026196_6,Aerobe
3300018427_70,Anaerobe
3300025498_10,Anaerobe
3300020401_8,Aerobe
3300026549_79,Anaerobe
3300008636_7,Anaerobe
3300029358_7,Anaerobe
3300029751_5,Facultative
3300027222_5,Aerobe
3300012521_30,Anaerobe
3300029818_5,Aerobe
3300009083_36,Aerobe
3300008326_17,Anaerobe
3300013131_33,Aerobe
3300025720_28,Aerobe
3300012845_12,Aerobe
3300025724_21,Anaerobe
3300029531_15,Anaerobe
3300025727_12,Anaerobe
3300020429_12,Aerobe
3300014919_4,Facultative
3300029360_32,Anaerobe
3300018430_47,Anaerobe
3300008154_6,Anaerobe
3300025373_9,Anaerobe
3300024927_3,Aerobe
3300011683_3,Aerobe
3300018025_19,Aerobe
3300014159_15,Anaerobe
3300025503_30,Anaerobe
3300007210_13,Anaerobe
3300012278_2,Anaerobe
3300010274_15,Anaerobe
3300012942_91,Aerobe
3300000212_24,Aerobe
3300025772_38,Anaerobe
3300014803_19,Anaerobe
3300025881_45,Aerobe
3300027687_12,Aerobe
3300027823_31,Aerobe
3300010167_40,Anaerobe
3300014826_12,Anaerobe
3300025705_31,Aerobe
3300007184_18,Anaerobe
3300007519_81,Aerobe
3300029233_6,Facultative
3300010167_34,Anaerobe
3300020406_29,Aerobe
3300020705_6,Aerobe
3300029855_8,Anaerobe
3300008348_5,Anaerobe
3300020364_55,Aerobe
3300029492_22,Anaerobe
3300024903_6,Aerobe
3300027302_9,Anaerobe
3300026262_35,Aerobe
3300012816_8,Aerobe
